brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,link
Lenovo,A6-9225,AMD,A6-9225 Processor,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,24990,32790,23,3.7,63,12,https://www.flipkart.com/lenovo-e41-amd-apu-dual-core-a6-a6-9225-4-gb-1-tb-hdd-windows-10-e41-45-notebook/p/itm2865c7a6c5d7a?pid=COMG42QMYNFEGSFT&lid=LSTCOMG42QMYNFEGSFTBG4HBE&marketplace=FLIPKART&q=Lenovo+A6-9225+AMD+A6-9225+Processor+10th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=a4709749-544a-4b49-aa99-3f2da480a3e2.COMG42QMYNFEGSFT.SEARCH&ppt=None&ppn=None&ssid=n5rnr09l0w0000001704463734818&qH=0a8b21be71afce20
Lenovo,Ideapad,AMD,APU Dual,10th,4 GB GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,19590,21325,8,3.6,1894,256,https://www.flipkart.com/lenovo-ideapad-1-amd-ryzen-3-dual-core-3250u-8-gb-512-gb-ssd-windows-11-home-15ada7-thin-light-laptop/p/itm9c3092b8ec631?pid=COMGFM5BYHQPXCRZ&lid=LSTCOMGFM5BYHQPXCRZHKVCXY&marketplace=FLIPKART&q=Lenovo+Ideapad+AMD+APU+Dual+10th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=dce16e0b-2a26-4758-b52a-33263d2303c0.COMGFM5BYHQPXCRZ.SEARCH&ppt=None&ppn=None&ssid=aq1dbl03c00000001704463735849&qH=920d94032aa1a89d
Avita,PURA,AMD,APU Dual,10th,4 GB GB,DDR4,128 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,19990,27990,28,3.7,1153,159,https://www.flipkart.com/chuwi-intel-celeron-quad-core-12th-gen-n100-8-gb-256-gb-ssd-windows-11-home-gemibook-x-pro-laptop/p/itm95998eabab6f9?pid=COMGVBZBDZJXUZFC&lid=LSTCOMGVBZBDZJXUZFCFYZTJO&marketplace=FLIPKART&q=Avita+PURA+AMD+APU+Dual+10th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_NgXXzRH1s2yef3vht9RF-VMv1ZPBrdCkEZlBAFobgQwB9CNk-CjNhRGb5sk1sv1L6an-fvi95oJtwpAJOdZDvw%3D%3D&ppt=None&ppn=None&ssid=79mb8gfs5c0000001704463737321&qH=c6688e552661c562
Avita,PURA,AMD,APU Dual,10th,4 GB GB,DDR4,128 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,21490,27990,23,3.7,1153,159,https://www.flipkart.com/chuwi-intel-celeron-quad-core-12th-gen-n100-8-gb-256-gb-ssd-windows-11-home-gemibook-x-pro-laptop/p/itm95998eabab6f9?pid=COMGVBZBDZJXUZFC&lid=LSTCOMGVBZBDZJXUZFCFYZTJO&marketplace=FLIPKART&q=Avita+PURA+AMD+APU+Dual+10th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_3vX1dhwgkjPaIQu6WC3ytkRjxo0bEZuEn3baiCH0HuWLBS_4v-ZDIHXXMnYvish06an-fvi95oJtwpAJOdZDvw%3D%3D&ppt=None&ppn=None&ssid=iinmavfzs00000001704463738135&qH=c6688e552661c562
Avita,PURA,AMD,APU Dual,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,24990,33490,25,3.7,1657,234,https://www.flipkart.com/chuwi-intel-celeron-quad-core-12th-gen-n100-8-gb-256-gb-ssd-windows-11-home-gemibook-x-pro-laptop/p/itm95998eabab6f9?pid=COMGVBZBDZJXUZFC&lid=LSTCOMGVBZBDZJXUZFCFYZTJO&marketplace=FLIPKART&q=Avita+PURA+AMD+APU+Dual+10th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_nEj0s2jy6abHxexBDby2KLy5_Yr46QWOVbWKzT3QL4Ur7b0nKLe0CAHYeEVGv2qo6an-fvi95oJtwpAJOdZDvw%3D%3D&ppt=None&ppn=None&ssid=okvdl1vnr40000001704463738730&qH=c6688e552661c562
Avita,PURA,AMD,APU Dual,10th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,24990,33490,25,3.7,1657,234,https://www.flipkart.com/chuwi-intel-celeron-quad-core-12th-gen-n100-8-gb-256-gb-ssd-windows-11-home-gemibook-x-pro-laptop/p/itm95998eabab6f9?pid=COMGVBZBDZJXUZFC&lid=LSTCOMGVBZBDZJXUZFCFYZTJO&marketplace=FLIPKART&q=Avita+PURA+AMD+APU+Dual+10th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_B9ELgafo5j4nLlkTqX5gKAdIE2nv4WE9OgyVnciHCrt_3Z-vXh86Xz_d9yJaCLu56an-fvi95oJtwpAJOdZDvw%3D%3D&ppt=None&ppn=None&ssid=9fv0ermo680000001704463739362&qH=c6688e552661c562
HP,APU,AMD,APU Dual,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,14,0,No,No,20900,22825,8,3.9,1185,141,https://www.flipkart.com/hp-255-g9-840t7pa-amd-athlon-dual-core-3050u-4-gb-256-gb-ssd-dos-g8-thin-light-laptop/p/itm443a85ce1b43f?pid=COMGJ5TZFKZTRBSX&lid=LSTCOMGJ5TZFKZTRBSXHMJRRH&marketplace=FLIPKART&q=HP+APU+AMD+APU+Dual+10th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=295445c1-28fe-420e-aa94-b03c243cd903.COMGJ5TZFKZTRBSX.SEARCH&ppt=None&ppn=None&ssid=zpox99vlps0000001704463740524&qH=4c680567315064ae
Lenovo,APU,AMD,APU Dual,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,Missing,0,No,No,21896,0,0,3.9,219,18,https://www.flipkart.com/lenovo-e41-amd-apu-dual-core-a6-a6-9225-4-gb-1-tb-hdd-windows-10-e41-45-notebook/p/itm2865c7a6c5d7a?pid=COMG42QMYNFEGSFT&lid=LSTCOMG42QMYNFEGSFTBG4HBE&marketplace=FLIPKART&q=Lenovo+APU+AMD+APU+Dual+10th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=a9bf714a-2946-4114-8c37-3dcae4431859.COMG42QMYNFEGSFT.SEARCH&ppt=None&ppn=None&ssid=0350y3zy8g0000001704463741611&qH=a08ff0e1ee85396f
HP,Athlon,AMD,Athlon Dual,10th,32 GB GB,DDR4,32 GB,0 GB,Windows,32-bit,4,Casual,14,0,No,No,26899,27668,2,0.0,0,0,https://www.flipkart.com/hp-255-g9-840t7pa-amd-athlon-dual-core-3050u-4-gb-256-gb-ssd-dos-g8-thin-light-laptop/p/itm443a85ce1b43f?pid=COMGJ5TZFKZTRBSX&lid=LSTCOMGJ5TZFKZTRBSXHMJRRH&marketplace=FLIPKART&q=HP+Athlon+AMD+Athlon+Dual+10th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=82c3040f-f638-4c00-aa0a-e380a1272ae4.COMGJ5TZFKZTRBSX.SEARCH&ppt=None&ppn=None&ssid=w03gjbxy3k0000001704463742858&qH=63cb080c2466af9d
acer,Aspire,AMD,Athlon Dual,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,31990,36990,13,4.2,76,13,https://www.flipkart.com/acer-aspire-3-amd-athlon-dual-core-3050u-4-gb-1-tb-hdd-windows-10-home-a315-23-r5e9-laptop/p/itm41a53096f23ef?pid=COMFRH6ZF2DASZMU&lid=LSTCOMFRH6ZF2DASZMUHRO3XZ&marketplace=FLIPKART&q=acer+Aspire+AMD+Athlon+Dual+10th+DDR4&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=47b796ed-9a1a-4ca4-a1f8-b366124844ec.COMFRH6ZF2DASZMU.SEARCH&ppt=None&ppn=None&ssid=bfnmssrbzk0000001704463744261&qH=107f50e3620213cc
